Customer_ID,Age,Income_INR,Employment_Years,Marital_Status,Education_Level,Credit_History_Length,Outstanding_Loans,Loan_Amount,Loan_Tenure_Months,Savings_Account_Balance,Checking_Account_Balance,No_of_Open_Accounts,No_of_Closed_Accounts,Total_Credit_Limit,Total_Current_Balance,Credit_Utilization_Ratio,No_of_Inquiries_6M,No_of_Inquiries_12M,DPD_30,DPD_60,DPD_90,Worst_Current_Status,Months_Since_Most_Recent_Delinquency,Max_Credit_Exposure,Oldest_Trade_Open_Months,Newest_Trade_Open_Months,Default,Application_Date
12,56,228697,18,Widowed,Graduate,19,3,921813,120,448502,71737,1,8,412097,90661,0.22,0,0,0,0,0,Current,,489648,234,83,0,2024-07-25
13,60,228631,32,Married,Graduate,29,1,1017206,48,435477,77877,6,7,581070,209185,0.36,1,2,0,0,0,Current,,707262,353,322,0,2025-06-21
14,44,100000,18,Married,High School,19,3,371562,84,180375,13365,7,2,262844,105137,0.4,1,2,0,0,0,Current,,322642,234,163,0,2023-07-07
15,23,278388,0,Married,Graduate,9,1,795929,120,99893,64983,2,1,303053,106068,0.35,1,3,4,1,0,DPD60,25.0,446815,115,80,1,2024-02-18
16,42,100000,14,Married,High School,15,2,172767,24,183322,32396,3,7,199910,27987,0.14,1,2,0,0,0,Current,,275889,185,33,0,2024-12-06
17,22,180734,0,Single,Graduate,8,1,785328,84,318628,58840,4,4,477084,57250,0.12,0,0,1,1,0,DPD60,35.0,546741,97,50,1,2025-02-10
18,44,167349,9,Divorced,High School,15,4,445583,180,131377,66954,6,8,254674,30560,0.12,0,1,0,0,0,Current,,334213,181,152,0,2025-08-22
19,64,447375,34,Divorced,Postgraduate,29,0,1473289,84,366542,70600,1,0,1266224,253244,0.2,1,1,0,0,0,Current,,1642229,356,95,0,2023-04-24
20,50,100000,23,Married,High School,24,2,85651,24,94682,38976,4,9,275744,11029,0.04,1,2,0,0,0,Current,,387713,293,97,0,2025-03-30
21,58,311987,18,Single,Postgraduate,19,3,854245,48,414799,72159,3,2,318331,22283,0.07,0,2,0,0,0,Current,,333500,233,37,0,2024-04-24
22,22,107696,2,Single,Graduate,3,1,392197,12,60162,36797,6,4,123571,2471,0.02,2,2,0,0,0,Current,,166899,36,36,0,2025-07-22
23,41,453324,13,Single,Postgraduate,14,2,1418144,120,42952,108228,7,1,431158,30181,0.07,2,2,0,0,0,Current,,502551,175,63,0,2025-03-07
24,53,173679,29,Single,Graduate,30,4,437410,180,56514,82555,3,2,171965,24075,0.14,1,1,0,0,0,Current,,183111,370,248,0,2024-02-07
25,32,207187,9,Married,Graduate,8,1,311904,24,188172,21975,6,3,573836,86075,0.15,0,0,0,0,0,Current,,783794,103,56,0,2023-08-15
26,42,428035,13,Divorced,Postgraduate,19,3,810491,60,256780,147245,6,3,1210416,60520,0.05,1,3,0,0,0,Current,,1411130,231,63,0,2024-07-15
27,64,299120,28,Single,Graduate,23,3,1092628,180,460886,88759,3,8,188368,56510,0.3,0,1,0,0,0,Current,,257133,282,275,0,2023-02-28
28,45,248938,16,Single,Graduate,17,1,375612,180,64237,25618,3,0,493895,197558,0.4,3,4,0,0,0,Current,,534008,212,149,1,2023-11-29
29,69,336336,24,Married,Graduate,26,4,1109158,60,618541,17382,4,8,642596,340575,0.53,2,2,0,0,0,Current,,959372,322,39,1,2023-05-09
30,47,253756,18,Single,Graduate,22,0,800300,180,455717,102413,1,8,374637,164840,0.44,1,2,1,1,0,DPD60,12.0,525130,264,104,1,2024-01-16
31,62,222544,29,Divorced,High School,25,0,1083094,84,405492,21270,3,5,462723,78662,0.17,0,1,0,0,0,Current,,529621,311,83,0,2023-03-16
32,48,171582,25,Single,Graduate,24,3,132721,60,256041,18792,5,0,492169,206710,0.42,1,1,0,0,0,Current,,674400,292,200,0,2023-08-17
33,36,212425,6,Single,Graduate,6,4,209568,48,54943,104013,1,5,196628,58988,0.3,0,2,0,0,0,Current,,209979,79,26,0,2024-08-03
34,35,100000,10,Single,Graduate,12,3,277737,60,90436,36428,5,7,80102,27234,0.34,1,1,0,0,0,Current,,106272,150,105,0,2024-06-18
35,67,316575,21,Single,Postgraduate,22,0,909201,48,96948,44394,4,4,184714,29554,0.16,4,5,0,0,0,Current,,190221,273,179,0,2024-08-21
36,64,277099,35,Married,Graduate,30,3,188337,12,547551,84142,3,4,390594,39059,0.1,4,5,0,0,0,Current,,455703,363,60,0,2024-11-02
37,23,341602,6,Single,Postgraduate,6,1,1440313,36,238924,94409,1,0,459137,96418,0.21,0,1,0,0,0,Current,,683761,74,6,0,2025-01-15
38,57,358840,32,Married,Graduate,29,1,978289,180,427520,152631,7,0,565908,45272,0.08,3,4,3,2,2,DPD90+,26.0,600122,348,135,1,2023-03-12
39,27,316187,7,Married,Graduate,9,4,651312,120,496355,117012,3,7,555943,194580,0.35,1,2,0,0,0,Current,,722009,110,60,0,2025-12-06
40,41,292191,14,Single,Graduate,12,0,565343,120,539151,122494,6,4,699668,160923,0.23,2,3,0,0,0,Current,,724368,145,133,0,2023-09-06
41,29,220629,6,Single,Graduate,6,4,965545,36,336088,26811,3,7,326593,81648,0.25,1,2,0,0,0,Current,,435903,76,8,0,2023-12-22
42,59,426597,23,Married,Postgraduate,21,4,590963,240,582425,139627,7,9,565894,294264,0.52,1,2,0,0,0,Current,,644740,252,102,0,2024-12-06
43,38,100000,10,Married,High School,13,0,122187,84,95866,3931,1,1,256719,28239,0.11,2,5,0,0,0,Current,,296507,159,140,0,2024-02-29
44,24,303237,1,Divorced,Postgraduate,8,2,442514,180,373142,16099,3,3,795842,23875,0.03,2,3,0,0,0,Current,,930260,103,101,0,2024-05-30
45,45,302422,21,Single,Graduate,22,2,1001803,180,70651,109625,3,9,327194,111245,0.34,2,3,0,0,0,Current,,360757,272,125,1,2024-09-26
46,34,245896,5,Single,Graduate,7,3,1020268,36,436133,7800,2,8,316389,63277,0.2,1,4,0,0,0,Current,,465354,84,37,0,2023-04-15
47,29,100000,9,Single,Graduate,13,2,198940,48,111036,29828,2,2,256279,74320,0.29,2,3,0,0,0,Current,,372351,158,143,0,2025-01-19
48,46,264841,17,Married,Graduate,20,1,339149,84,33969,112132,1,5,184996,73998,0.4,3,3,0,0,0,Current,,265470,245,17,0,2023-07-25
49,22,187703,0,Married,Graduate,6,4,270550,24,346088,37985,1,6,246757,175197,0.71,2,2,0,0,0,Current,,259890,76,37,0,2024-11-05
50,40,230993,6,Divorced,Graduate,10,3,759118,120,231949,9591,6,2,374410,175972,0.47,1,1,0,0,0,Current,,418112,131,3,0,2025-08-06
51,48,100000,14,Married,High School,12,4,160715,24,174374,36264,6,0,96767,22256,0.23,1,1,3,3,3,DPD90+,35.0,126388,144,104,1,2024-07-18
52,67,330935,29,Single,Graduate,26,0,1471919,60,569516,154298,3,1,314317,40861,0.13,1,2,0,0,0,Current,,466819,313,121,0,2024-06-11
53,27,100000,6,Married,High School,11,2,96751,48,164071,36424,5,9,156215,46864,0.3,2,3,0,0,0,Current,,203455,133,45,0,2023-05-03
54,64,243512,29,Divorced,Graduate,27,0,157225,240,41332,72482,1,6,581093,81353,0.14,0,1,0,0,0,Current,,676131,330,134,0,2024-01-01
55,28,201300,4,Single,Graduate,7,3,180707,24,107047,26252,7,6,523497,183223,0.35,2,2,2,0,1,DPD90+,9.0,737451,89,88,1,2025-06-16
56,67,279636,40,Married,Graduate,30,1,1203943,120,491409,7656,3,0,824391,502878,0.61,1,1,0,0,0,Current,,880214,365,243,1,2023-12-03
57,55,165765,24,Widowed,Graduate,28,2,568662,120,298879,58588,5,9,113542,86291,0.76,3,4,4,1,0,DPD60,19.0,163599,336,231,1,2024-12-13
58,34,100000,12,Married,High School,11,0,480985,120,94323,13089,2,6,104170,33334,0.32,1,3,0,0,0,Current,,154936,132,13,0,2025-01-09
59,37,107178,13,Married,Graduate,19,2,215785,12,97326,46292,6,9,256324,46138,0.18,1,1,3,3,1,DPD90+,29.0,380340,231,57,1,2025-12-12
60,56,316805,18,Single,Graduate,17,4,461601,180,124036,77254,7,5,586563,164237,0.28,2,3,0,0,0,Current,,629879,213,73,0,2024-01-25
61,60,291353,39,Married,Graduate,30,1,882475,24,564758,80036,1,5,384352,96088,0.25,0,1,0,0,0,Current,,489973,365,83,0,2024-09-30
62,24,290670,3,Single,Postgraduate,6,2,848822,60,135341,111003,3,6,294731,26525,0.09,2,3,2,2,1,DPD90+,5.0,380927,82,57,1,2024-08-15
63,22,100000,3,Married,High School,3,1,315960,24,42232,39412,2,6,120119,36035,0.3,0,1,1,1,1,DPD90+,29.0,131825,41,12,1,2023-11-12
64,26,172079,2,Single,Graduate,10,4,355154,60,230314,56523,4,0,270718,43314,0.16,1,3,0,0,0,Current,,344729,124,29,0,2023-06-22
65,62,190126,24,Divorced,Graduate,25,4,100108,120,99539,89444,2,9,179265,43023,0.24,2,3,1,0,0,DPD30,33.0,237215,303,97,0,2025-08-06
66,24,135631,5,Divorced,Graduate,12,0,89196,84,255068,66663,3,4,394762,126323,0.32,1,3,0,0,0,Current,,459692,145,65,0,2023-09-04
67,49,184971,24,Married,High School,21,3,645034,60,13182,87769,6,7,142237,81075,0.57,0,0,0,0,0,Current,,164687,258,127,0,2023-10-22
68,38,100000,15,Single,High School,19,0,285466,48,6121,41560,5,7,296394,160052,0.54,2,3,2,1,0,DPD60,10.0,305321,239,132,1,2023-04-23
69,46,394513,21,Single,Postgraduate,22,1,1654804,180,408127,141511,7,2,1027601,184968,0.18,0,2,1,1,0,DPD60,16.0,1519218,269,215,1,2023-05-16
70,64,326632,21,Married,Graduate,18,0,604871,180,327194,110531,7,2,508853,183187,0.36,0,0,0,0,0,Current,,713314,222,28,0,2024-07-02
71,54,287396,19,Married,Graduate,17,2,1198333,12,105922,20060,4,6,675248,344376,0.51,0,1,0,0,0,Current,,931656,206,50,0,2024-01-23
72,30,326967,2,Married,Graduate,5,0,789530,24,331646,49147,7,3,712391,113982,0.16,1,1,0,0,0,Current,,720148,60,12,0,2024-08-14
73,56,187421,32,Single,Graduate,29,3,175265,36,159821,4260,4,5,193646,65839,0.34,1,1,0,0,0,Current,,254093,348,83,0,2023-04-30
74,34,100000,6,Married,High School,7,3,490060,12,178614,8595,6,8,134767,22910,0.17,1,2,4,2,1,DPD90+,32.0,146938,87,18,1,2024-01-12
75,51,173414,24,Married,Graduate,27,1,486202,36,11799,40029,4,9,309163,89657,0.29,0,1,0,0,0,Current,,411452,327,226,0,2025-06-09
76,68,276244,39,Married,Graduate,30,4,920625,180,539705,24955,1,1,578623,190945,0.33,5,5,0,0,0,Current,,758330,366,363,0,2024-06-09
77,35,410962,8,Married,Postgraduate,8,3,1446005,48,520921,186082,3,1,763254,373994,0.49,0,0,3,3,1,DPD90+,22.0,1088371,102,6,1,2023-02-17
78,28,112095,3,Married,Graduate,5,1,238858,120,38795,45593,7,5,188596,107499,0.57,0,0,2,0,1,DPD90+,13.0,212682,63,4,1,2025-08-29
79,34,258801,10,Single,Graduate,17,3,999975,120,36538,14071,4,2,416121,212221,0.51,3,3,0,0,0,Current,,421834,210,76,0,2024-10-09
80,43,221107,20,Single,Graduate,21,3,976452,60,243064,30839,2,0,385977,185268,0.48,3,4,0,0,0,Current,,562389,259,23,0,2024-06-05
81,60,203460,22,Married,Graduate,19,4,456226,12,103364,84060,5,1,322662,83892,0.26,3,4,0,0,0,Current,,469253,236,156,0,2023-09-08
82,41,107917,14,Single,Graduate,14,2,373015,48,68772,43756,3,6,200005,24000,0.12,1,1,0,0,0,Current,,245592,173,40,0,2025-04-01
83,36,106345,12,Married,Graduate,17,1,415495,120,56150,50387,6,3,289254,17355,0.06,2,2,3,1,1,DPD90+,20.0,300547,207,98,1,2024-10-17
84,65,395048,19,Married,Postgraduate,19,3,535513,60,520608,197058,7,1,822518,394808,0.48,0,0,0,0,0,Current,,1027312,237,48,1,2025-12-26
85,38,193850,12,Divorced,Graduate,11,3,387056,24,218930,94716,2,7,447125,219091,0.49,1,1,2,1,0,DPD60,27.0,564274,133,92,1,2025-02-05
86,67,371763,26,Married,Graduate,22,0,367889,180,75114,80622,1,3,741186,192708,0.26,1,2,0,0,0,Current,,1045711,272,190,0,2025-02-10
87,44,419945,18,Single,Postgraduate,20,2,1347997,24,452166,58858,4,3,885052,477928,0.54,5,5,0,0,0,Current,,1202388,251,186,0,2023-06-11
88,46,177663,10,Single,Graduate,16,4,729167,180,282985,68229,2,1,345709,86427,0.25,2,5,0,0,0,Current,,357947,198,162,0,2023-05-05
89,45,249519,15,Divorced,Graduate,19,1,810630,24,51982,40834,3,0,141518,50946,0.36,1,1,0,0,0,Current,,191426,233,57,0,2025-09-30
90,65,234092,26,Single,High School,24,3,306432,60,417852,95292,7,0,702040,414203,0.59,3,3,0,0,0,Current,,749687,291,233,0,2024-06-23
91,61,535435,28,Married,Postgraduate,24,1,1584169,48,630580,147939,2,2,312706,15635,0.05,2,2,0,0,0,Current,,326695,291,29,0,2024-10-09
92,49,100000,28,Married,High School,30,4,425720,12,190371,40108,1,5,148787,43148,0.29,1,3,1,1,0,DPD60,12.0,178440,361,346,1,2023-12-05
93,35,102497,12,Single,High School,13,2,190876,180,34733,15622,5,6,78183,30491,0.39,1,1,0,0,0,Current,,81207,156,124,0,2024-12-02
94,65,218397,40,Single,High School,30,0,927517,36,434053,57624,4,8,162120,19454,0.12,1,1,0,0,0,Current,,229340,364,354,0,2024-08-27
95,21,100000,2,Married,Graduate,6,2,403080,48,130633,29073,3,4,248381,94384,0.38,1,2,0,0,0,Current,,305897,77,8,0,2023-01-21
96,45,100000,13,Divorced,High School,17,0,59783,48,115661,47269,7,8,156481,20342,0.13,1,5,2,2,1,DPD90+,22.0,202408,213,93,1,2023-10-09
97,27,154201,3,Single,High School,7,1,243259,60,162650,22816,4,7,385941,135079,0.35,0,1,0,0,0,Current,,497258,92,16,0,2023-08-11
98,29,100000,6,Divorced,High School,6,2,294324,36,9612,46961,4,0,118196,34276,0.29,1,1,2,0,0,DPD30,10.0,176000,72,30,0,2025-03-06
99,44,100000,14,Married,High School,17,2,372927,240,188229,40633,6,2,114115,55916,0.49,1,1,0,0,0,Current,,166367,208,87,0,2023-03-22
100,21,145742,0,Widowed,Graduate,7,2,650357,48,190308,54045,4,7,164408,23017,0.14,1,1,2,1,1,DPD90+,6.0,234209,94,93,1,2024-04-10
101,64,349477,32,Single,Graduate,30,4,1182871,48,79915,138986,2,8,713060,135481,0.19,2,2,0,0,0,Current,,849706,364,84,0,2025-09-30
102,28,174390,4,Single,Graduate,6,1,385671,84,15844,54166,2,3,442514,199131,0.45,2,2,4,2,2,DPD90+,14.0,474618,80,26,1,2024-09-21
103,44,264921,16,Divorced,Graduate,20,0,352562,180,39480,36336,5,5,431994,60479,0.14,0,2,0,0,0,Current,,559835,250,185,0,2024-09-01
104,31,239293,8,Divorced,Graduate,9,2,938067,120,296321,26551,1,3,346525,103957,0.3,1,1,0,0,0,Current,,422815,118,111,0,2025-10-30
105,37,100000,17,Married,High School,18,1,143051,48,124733,43584,7,8,293394,105621,0.36,2,2,0,0,0,Current,,326478,219,39,0,2025-11-23
106,28,142836,3,Married,Graduate,11,4,518414,48,146314,52573,7,1,113109,31670,0.28,1,1,0,0,0,Current,,118633,134,33,0,2025-12-08
107,55,414206,28,Divorced,Postgraduate,27,4,544868,60,268485,50673,3,5,711018,298627,0.42,3,5,1,0,0,DPD30,30.0,866053,326,287,1,2023-02-01
108,55,265666,29,Single,Graduate,30,1,241687,60,288751,83749,2,2,404136,210150,0.52,1,2,0,0,0,Current,,535655,365,208,0,2024-06-05
109,53,252244,26,Married,Graduate,27,0,411145,12,266568,59232,4,9,188001,69560,0.37,3,3,0,0,0,Current,,246787,334,277,0,2024-05-14
110,25,170709,3,Divorced,Graduate,7,1,304234,180,14998,16414,1,3,199815,21979,0.11,1,1,1,0,0,DPD30,5.0,277135,84,50,0,2023-04-13
111,62,231087,19,Married,Graduate,17,1,788570,60,138840,63616,3,1,131974,26394,0.2,0,2,0,0,0,Current,,162760,204,128,0,2024-09-26
112,59,312017,31,Single,Graduate,29,3,381901,36,47960,48402,7,7,840070,151212,0.18,1,1,0,0,0,Current,,975169,348,188,0,2023-08-25
113,61,158953,35,Married,High School,30,4,744914,36,286958,10522,3,9,321025,125199,0.39,0,1,0,0,0,Current,,407493,366,215,0,2023-03-11
114,48,100000,21,Single,High School,23,0,299462,48,146418,24413,3,7,253754,45675,0.18,0,1,0,0,0,Current,,377459,280,201,0,2025-09-20
115,27,100000,4,Single,High School,7,3,270919,120,199242,30325,7,0,180388,5411,0.03,1,1,0,0,0,Current,,184454,94,13,0,2025-10-11
116,29,332584,4,Widowed,Postgraduate,4,1,816867,60,212598,14139,3,9,664760,365618,0.55,1,1,2,1,0,DPD60,21.0,840477,56,44,1,2025-09-01
117,28,141941,5,Married,Graduate,10,4,432878,12,250248,30234,5,5,319670,35163,0.11,0,3,0,0,0,Current,,372297,131,32,0,2024-12-20
118,32,100000,2,Divorced,High School,4,3,60101,60,122595,14367,3,0,277002,63710,0.23,0,2,3,2,1,DPD90+,15.0,291593,58,39,1,2025-08-28
119,54,100000,25,Divorced,High School,25,3,495538,60,93359,3471,1,5,72937,26986,0.37,1,7,0,0,0,Current,,88788,302,236,0,2023-11-08
120,53,259144,18,Single,Graduate,18,0,779727,84,125430,20813,2,6,343980,79115,0.23,1,2,0,0,0,Current,,454253,221,81,0,2025-01-22
121,68,119957,22,Single,High School,19,1,78976,120,178719,10404,1,1,272610,65426,0.24,1,3,0,0,0,Current,,344601,234,173,0,2024-04-12
122,43,100000,15,Single,High School,19,0,315489,60,181307,10777,4,8,289587,228773,0.79,2,3,0,0,0,Current,,293811,230,183,1,2023-04-16
123,44,248979,20,Single,Postgraduate,21,3,614194,24,126693,100991,6,7,734990,139648,0.19,0,1,0,0,0,Current,,947812,260,177,0,2023-07-15
124,57,296376,23,Married,Graduate,25,3,180246,24,116182,68449,5,8,620984,341541,0.55,1,1,0,0,0,Current,,693018,301,40,0,2025-01-11
125,55,271014,18,Married,Graduate,23,0,1262906,48,381488,24554,5,9,266676,50668,0.19,2,3,0,0,0,Current,,312207,287,82,0,2023-04-27
126,64,458319,38,Married,Postgraduate,30,3,250952,12,896058,31231,4,3,365748,175559,0.48,2,2,0,0,0,Current,,422842,371,162,1,2025-05-05
127,60,278068,21,Single,Graduate,21,2,862128,120,420553,45328,7,3,796695,79669,0.1,0,0,0,0,0,Current,,1138681,258,113,0,2025-08-04
128,42,100000,15,Married,High School,21,4,482805,12,60493,40304,1,7,158481,20602,0.13,2,2,0,0,0,Current,,162250,261,89,0,2023-03-26
129,47,139141,23,Married,High School,22,1,218342,36,120901,27124,1,0,137337,63175,0.46,0,1,0,0,0,Current,,161233,267,12,0,2023-06-08
130,55,431677,18,Married,Postgraduate,19,4,709593,120,345090,41765,4,7,1223688,244737,0.2,0,0,0,0,0,Current,,1465254,236,143,0,2024-10-24
131,21,365454,1,Single,Postgraduate,5,1,183422,84,625505,78198,7,6,278224,194756,0.7,1,2,0,0,0,Current,,364311,66,9,0,2025-09-17
132,55,415287,14,Married,Postgraduate,19,3,331640,120,645427,119000,6,6,965096,299179,0.31,1,2,0,0,0,Current,,1345809,235,232,0,2023-10-16
133,57,100000,28,Single,High School,26,0,70199,60,119850,3420,3,8,206315,70147,0.34,2,3,0,0,0,Current,,281379,322,89,0,2023-07-05
134,67,452652,32,Married,Postgraduate,29,0,1902022,180,265331,145422,7,9,325609,65121,0.2,3,4,2,1,1,DPD90+,16.0,448139,357,216,1,2023-02-15
135,34,291829,10,Married,Postgraduate,15,3,1244743,84,548369,61181,3,6,393056,39305,0.1,0,0,0,0,0,Current,,430865,182,49,0,2025-12-29
136,23,136209,2,Single,Graduate,6,1,513528,48,180335,3360,2,1,119159,27406,0.23,1,1,0,0,0,Current,,173479,77,14,0,2023-10-10
137,21,313654,0,Married,Postgraduate,6,3,654706,12,609250,107729,1,0,630835,25233,0.04,0,0,0,0,0,Current,,761464,75,5,0,2024-04-25
138,25,324859,1,Single,Postgraduate,6,1,1362993,24,383732,117581,1,0,549915,230964,0.42,0,1,3,2,1,DPD90+,3.0,552969,75,48,1,2024-12-18
139,46,221614,16,Single,Graduate,18,3,649104,84,365956,71324,4,6,113175,19239,0.17,2,4,0,0,0,Current,,150980,227,57,0,2024-12-05
140,34,108708,10,Single,Graduate,13,3,203218,48,177797,20016,4,4,319522,99051,0.31,0,0,1,0,0,DPD30,19.0,416018,157,93,0,2023-03-16
141,59,305184,19,Divorced,Graduate,20,3,753116,36,216006,83684,3,3,419311,150951,0.36,1,2,0,0,0,Current,,445718,250,60,0,2024-01-11
142,47,131053,24,Married,High School,28,0,104312,120,252911,26975,7,4,150122,25520,0.17,0,0,0,0,0,Current,,222170,345,337,0,2024-05-29
143,29,275621,2,Widowed,Graduate,9,1,1309775,120,25573,98203,1,9,291085,93147,0.32,4,5,4,3,2,DPD90+,20.0,372816,116,43,1,2025-12-09
144,35,221506,8,Married,Graduate,10,3,727874,24,343109,66478,1,9,198699,43713,0.22,1,2,0,0,0,Current,,245320,130,82,0,2024-06-10
145,35,345087,11,Married,Postgraduate,15,4,1308070,180,666996,20451,5,5,1034516,217248,0.21,1,2,0,0,0,Current,,1240447,180,91,0,2025-12-16
146,46,317218,16,Married,Postgraduate,20,4,1124418,12,225501,104264,2,9,392644,117793,0.3,0,1,0,0,0,Current,,433842,240,64,0,2024-04-25
147,62,515521,37,Single,Postgraduate,30,0,1806836,120,677299,180367,2,5,780387,156077,0.2,1,1,0,0,0,Current,,1152168,366,258,0,2025-02-04
148,33,100000,12,Single,High School,14,2,57767,12,114633,19793,3,0,267838,155346,0.58,1,2,0,0,0,Current,,361870,177,1,1,2023-10-14
149,52,257602,24,Single,Graduate,22,0,737816,36,395403,113442,6,1,542179,48796,0.09,1,1,0,0,0,Current,,696050,270,118,0,2023-08-15
150,59,101756,32,Married,High School,29,2,427140,36,176958,43210,7,2,144670,36167,0.25,0,0,0,0,0,Current,,190327,351,320,0,2023-09-12
151,69,277921,40,Single,Graduate,30,0,194637,24,340713,28925,1,3,763121,76312,0.1,2,3,0,0,0,Current,,1083792,367,328,0,2023-03-05
152,52,437296,17,Single,Postgraduate,18,4,2100221,60,717608,198553,5,5,1038276,716410,0.69,2,3,0,0,0,Current,,1368302,220,85,0,2025-03-11
153,24,250713,4,Single,Postgraduate,12,3,603897,48,165209,58069,7,8,268200,147510,0.55,1,1,1,0,1,DPD90+,27.0,283566,149,24,1,2024-08-02
154,50,337525,16,Married,Graduate,15,1,609073,84,167326,124006,1,1,711957,370217,0.52,1,1,0,0,0,Current,,960179,191,130,0,2023-02-21
155,57,495451,21,Married,Postgraduate,18,3,1433436,24,440853,203514,4,7,1390233,27804,0.02,1,4,0,0,0,Current,,1782883,219,59,0,2024-05-01
156,43,347756,19,Divorced,Postgraduate,21,4,1427699,48,476977,91269,7,8,605496,205868,0.34,1,1,0,0,0,Current,,898054,254,102,0,2025-06-24
157,59,215168,27,Single,Graduate,28,1,567268,120,89323,45522,3,1,502208,120529,0.24,0,1,0,0,0,Current,,686447,337,312,0,2023-01-03
158,65,314087,38,Single,Postgraduate,30,2,1068830,12,432399,144296,7,8,919571,423002,0.46,3,4,0,0,0,Current,,1077738,367,5,0,2024-12-20
159,35,119915,9,Married,Graduate,8,2,329720,36,98148,15686,6,6,266935,72072,0.27,0,1,0,0,0,Current,,285006,106,55,0,2023-02-07
160,63,322794,36,Divorced,Graduate,30,4,1078366,12,516913,46271,7,8,244063,53693,0.22,1,1,0,0,0,Current,,302916,364,119,0,2024-08-06
161,49,255920,14,Single,Graduate,14,1,286921,24,31178,49540,7,5,284429,105238,0.37,3,5,0,0,0,Current,,381043,177,36,0,2024-08-28
162,56,287619,25,Married,Graduate,24,3,193850,240,389023,124407,7,1,571712,234401,0.41,2,3,0,0,0,Current,,622387,293,183,0,2024-10-22
163,33,100000,9,Married,Graduate,13,4,111605,60,131715,47061,2,7,118888,32099,0.27,1,1,0,0,0,Current,,157493,161,138,0,2024-10-08
164,52,222251,24,Single,Graduate,24,2,397000,48,418904,27921,1,9,643162,270128,0.42,2,3,0,0,0,Current,,908663,291,85,0,2023-01-26
165,27,253036,3,Single,Graduate,3,4,415004,48,364641,109984,6,8,382939,91905,0.24,1,1,0,0,0,Current,,413009,44,34,0,2024-01-11
166,42,210238,12,Single,Graduate,15,3,687118,180,336967,30261,3,7,345437,120902,0.35,2,2,0,0,0,Current,,467339,186,132,0,2024-01-10
167,48,157662,15,Divorced,Graduate,21,0,402274,36,285991,76609,2,1,355370,238097,0.67,4,5,2,1,0,DPD60,11.0,367498,263,184,1,2025-02-14
168,22,149303,0,Married,Graduate,1,0,100727,48,204000,45799,1,7,270331,70286,0.26,2,4,2,0,0,DPD30,14.0,271405,23,11,1,2024-02-18
169,62,229738,37,Married,Graduate,30,3,150914,24,141472,5376,5,2,334352,147114,0.44,1,3,0,0,0,Current,,339807,369,105,0,2024-03-02
170,65,305020,23,Married,Graduate,26,1,276850,84,532582,11097,3,2,210950,82270,0.39,0,0,0,0,0,Current,,277557,323,178,0,2024-08-27
171,26,100000,5,Married,High School,7,4,208886,240,150777,9079,1,8,199111,41813,0.21,0,0,2,0,1,DPD90+,31.0,296014,91,61,1,2024-01-22
