age,income_inr,employment_years,marital_status,education_level,credit_history_length,outstanding_loans,loan_amount,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_credit_limit,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,max_credit_exposure,oldest_trade_open_months,newest_trade_open_months,default,month,log_income_inr,log_loan_amount,log_savings_account_balance,log_checking_account_balance,log_total_credit_limit,log_total_current_balance,log_max_credit_exposure
31,114050,3,3,1,9,0,551176,240,97613,44748,5,4,141131,26814,0.19,3,4,165303,110,14,0,2025-11,11.644400995758268,13.219811270670201,11.488776204737226,10.708824377084602,11.857450901639037,10.196716711417025,12.01554148194344
44,125411,17,1,1,15,0,416514,48,194709,41552,5,2,79620,8758,0.11,5,5,81666,187,177,1,2025-06,11.739359596382505,12.939677754346294,12.179266551109666,10.634724999843208,11.285033156133814,9.07783702216309,11.310405282483078
56,228697,18,3,1,19,3,921813,120,448502,71737,1,8,412097,90661,0.22,2,3,482911,233,69,0,2023-12,12.340157634891742,13.734098746829499,13.013670649421828,11.180775872247704,12.929016464124159,11.414893584697133,13.087589721418277
60,228631,32,1,1,29,1,1017206,48,435477,77877,6,7,581070,209185,0.36,0,0,766597,355,142,0,2024-12,12.339869003048399,13.832571194142286,12.984199557351154,11.26289877862223,13.272628231465964,12.250979087327435,13.549717823002673
44,100000,18,1,0,19,3,371562,84,180375,13365,7,2,262844,105137,0.4,3,4,369819,234,167,1,2025-06,11.51293546492023,12.825473711534961,12.102798840066349,9.500469448071016,12.47931978381063,11.563029051936475,12.820771679760977
23,278388,0,1,1,9,1,795929,120,99893,64983,2,1,303053,106068,0.35,1,2,448811,119,12,0,2023-02,12.53677469516755,13.587266521261105,11.511864902772908,11.08189636473079,12.62166628643438,11.571845104718674,13.014359370801085
42,100000,14,1,0,15,2,172767,24,183322,32396,3,7,199910,27987,0.14,2,4,274498,184,124,0,2023-01,11.51293546492023,12.059704933018013,12.119004903315691,10.38582110490087,12.20562754648829,10.239531125865787,12.522702896937837
22,180734,0,0,1,8,1,785328,84,318628,58840,4,4,477084,57250,0.12,0,0,579383,100,49,0,2023-04,12.104787149025487,13.573858017243456,12.671782695542339,10.98259416981229,13.075449951060257,10.955200388512845,13.269720749162188
44,167349,9,2,0,15,4,445583,180,131377,66954,6,8,254674,30560,0.12,0,0,292762,182,84,0,2024-11,12.027842706639472,13.007141060307823,11.78583394331339,11.111776030929667,12.447743501458268,10.327479965258176,12.587118686964205
64,447375,34,2,2,29,0,1473289,84,366542,70600,1,0,1266224,253244,0.2,0,0,1348294,351,274,0,2025-12,13.011154683327074,14.20300855318853,12.811871119483978,11.16479958768697,14.051550591013504,12.442112678579404,14.114351389241783
50,100000,23,1,0,24,2,85651,24,94682,38976,4,9,275744,11029,0.04,1,3,362284,295,257,0,2024-05,11.51293546492023,11.358047854326108,11.458289748804013,10.570727007554888,12.527231804585082,9.308374112247549,12.800186473873163
58,311987,18,0,2,19,3,854245,48,414799,72159,3,2,318331,22283,0.07,1,1,399486,232,107,0,2025-06,12.650720004513493,13.657974487496572,12.93555175533751,11.186641154736506,12.67085014230431,10.011624211140706,12.897936502983162
22,107696,2,0,1,3,1,392197,12,60162,36797,6,4,123571,2471,0.02,1,1,165443,44,4,1,2024-04,11.587077007603314,12.87952209329232,11.004812824401679,10.513198774854038,11.724579261125468,7.812782818577581,12.01638804795963
41,453324,13,0,2,14,2,1418144,120,42952,108228,7,1,431158,30181,0.07,0,1,482278,170,12,0,2023-08,13.024364586522227,14.164860237545927,10.667861773634332,11.592004631664135,12.974232210568262,10.315000999178496,13.086278063744814
53,173679,29,0,1,30,4,437410,180,56514,82555,3,2,171965,24075,0.14,3,6,199792,369,357,0,2025-01,12.064969804552174,12.988628535513978,10.942261368624832,11.321232129929266,12.055052061836822,10.088970772667661,12.205037109547813
32,207187,9,1,1,8,1,311904,24,188172,21975,6,3,573836,86075,0.15,2,3,657643,98,79,1,2023-11,12.241381872632408,12.6504539332465,12.14511703144184,9.99770622777511,13.260100662848549,11.362985905914435,13.396419030461404
42,428035,13,2,2,19,3,810491,60,256780,147245,6,3,1210416,60520,0.05,1,2,1693161,235,52,0,2024-09,12.966962583176239,13.605396749658816,12.455978860521789,11.899859936458958,14.006475486301474,11.010745691229099,14.34210834466504
64,299120,28,0,1,23,3,1092628,180,460886,88759,3,8,188368,56510,0.3,3,5,204495,283,90,0,2025-07,12.608603452785283,13.904097276784452,13.040908172626281,11.39369137704653,12.146158084061213,10.942190588450329,12.228303694371496
45,248938,16,0,1,17,1,375612,180,64237,25618,3,0,493895,197558,0.4,1,2,644155,215,15,0,2025-04,12.424963165514683,12.836314637005893,11.070350214885682,10.151089542682712,13.110080247690494,12.19379255288836,13.375696211776926
69,336336,24,1,1,26,4,1109158,60,618541,17382,4,8,642596,340575,0.53,0,2,659096,318,136,0,2024-06,12.725868912491263,13.919112628463237,13.335120374733894,9.76324799612154,13.373273057118917,12.738393580840771,13.398625995369096
47,253756,18,0,1,22,0,800300,180,455717,102413,1,8,374637,164840,0.44,2,2,477573,269,220,0,2023-08,12.444132395164539,13.592743185885782,13.029629476142718,11.536778700992388,12.833715505384921,12.012736651923069,13.076474400717709
62,222544,29,2,0,25,0,1083094,84,405492,21270,3,5,462723,78662,0.17,1,1,477510,306,286,0,2024-10,12.312884607330238,13.89533324143426,12.912858889749886,9.96509992166365,13.044886043011772,11.272928184083858,13.076342475286797
48,171582,25,0,1,24,3,132721,60,256041,18792,5,0,492169,206710,0.42,4,4,535449,294,182,0,2023-06,12.052822393529413,11.796011994069652,12.453096772504919,9.8412397390566,13.10657946424852,12.239076961476902,13.190862793829021
36,212425,6,0,1,6,4,209568,48,54943,104013,1,5,196628,58988,0.3,1,1,207739,77,67,0,2025-07,12.2663489714045,12.252808319727269,10.914069763697203,11.552280784448287,12.189073983446727,10.985106264827667,12.244042576781803
35,100000,10,0,1,12,3,277737,60,90436,36428,5,7,80102,27234,0.34,1,3,93988,152,95,1,2024-08,11.51293546492023,12.534433502248111,11.412408754678529,10.503120439721929,11.291068585538618,10.212258189817774,11.450933033128022
67,316575,21,0,2,22,0,909201,48,96948,44394,4,4,184714,29554,0.16,1,2,216460,268,218,0,2023-10,12.66531861812295,13.720322570694137,11.48194034602245,10.700882129466427,12.126569375667229,10.29400821325847,12.285165671629652
64,277099,35,1,1,30,3,188337,12,547551,84142,3,4,390594,39059,0.1,0,0,551991,364,8,0,2023-11,12.53213373085107,12.145993499914542,13.213212713331696,11.340273011369838,12.875426496523533,10.57285420443067,13.221288832400589
23,341602,6,0,2,6,1,1440313,36,238924,94409,1,0,459137,96418,0.21,0,1,510947,77,63,0,2025-05,12.741404523059394,14.180371703337082,12.38390497413438,11.455402278726563,13.037106097450218,11.476458556613569,13.144023102755368
57,358840,32,1,1,29,1,978289,180,427520,152631,7,0,565908,45272,0.08,0,0,590351,357,93,0,2025-09,12.790634672426666,13.793561428579928,12.965758688959484,11.935785074407146,13.24618856687409,10.72046610728666,13.288474248150301
27,316187,7,1,1,9,4,651312,120,496355,117012,3,7,555943,194580,0.35,4,4,723702,118,17,0,2024-06,12.664092252373228,13.386745604415134,13.115048690188988,11.670040318718621,13.228422848735716,12.178603807790546,13.492136366209728
41,292191,14,0,1,12,0,565343,120,539151,122494,6,4,699668,160923,0.23,2,4,940161,147,16,0,2025-10,12.585166399416067,13.245189674412407,13.197752813846137,11.71582549180738,13.45836264505049,11.988687482826629,13.753807479822813
29,220629,6,0,1,6,4,965545,36,336088,26811,3,7,326593,81648,0.25,1,1,374736,81,45,0,2023-02,12.304242369302417,13.780449023423705,12.725131284822956,10.196604827477849,12.69647308825361,11.310184850926182,12.833979725569943
59,426597,23,1,2,21,4,590963,240,582425,139627,7,9,565894,294264,0.52,4,5,736458,261,196,0,2023-04,12.963597396775862,13.289510380827336,13.274957417725293,11.846737022264223,13.246163827608282,12.59223600088356,13.509608844631936
38,100000,10,1,0,13,0,122187,84,95866,3931,1,1,256719,28239,0.11,2,3,356333,164,138,1,2025-04,11.51293546492023,11.713316121225061,11.470717093206334,8.276903481267057,12.455741275783739,10.248494691607178,12.783623772244713
24,303237,1,2,2,8,2,442514,180,373142,16099,3,3,795842,23875,0.03,1,3,934140,107,80,0,2024-10,12.622273254712532,13.000229641160672,12.829717003171464,9.686574550972555,13.587157209192002,10.080629049288541,13.747382669414552
45,302422,21,0,1,22,2,1001803,180,70651,109625,3,9,327194,111245,0.34,1,2,413140,265,205,1,2025-07,12.619581978596296,13.81731293271062,11.165521696275334,11.604829851639721,12.698311602420377,11.619499244325908,12.931544218036317
34,245896,5,0,1,7,3,1020268,36,436133,7800,2,8,316389,63277,0.2,3,3,339585,94,60,1,2024-02,12.412668028048529,13.835576875981197,12.985704814561618,8.962007209588313,12.66473090881359,11.05529299637949,12.735482507599004
29,100000,9,0,1,13,2,198940,48,111036,29828,2,2,256279,74320,0.29,2,3,259309,167,68,0,2025-01,11.51293546492023,12.20076357733497,11.61761875808459,10.303236353648183,12.454025875752958,11.216148828725508,12.46577953615143
46,264841,17,1,1,20,1,339149,84,33969,112132,1,5,184996,73998,0.4,0,1,275770,242,127,0,2023-09,12.486888700739614,12.734197766374226,10.43323306115463,11.627440945756797,12.128094887712761,11.211806858581484,12.527326090154382
22,187703,0,1,1,6,4,270550,24,346088,37985,1,6,246757,175197,0.71,2,2,283737,80,32,0,2023-12,12.142621532949557,12.50821589923851,12.754451246396597,10.544972949772182,12.416163378249394,12.073672041894156,12.555806556134572
40,230993,6,2,1,10,3,759118,120,231949,9591,6,2,374410,175972,0.47,2,3,426621,120,117,0,2024-07,12.350147015140626,13.539913829331987,12.35427711017989,9.16868469670735,12.833109403495861,12.078085853161001,12.96365365424757
48,100000,14,1,0,12,4,160715,24,174374,36264,6,0,96767,22256,0.23,1,1,143856,148,80,0,2023-04,11.51293546492023,11.987394111175123,12.068963431557767,10.498608367797512,11.48007164009915,10.010411844857636,11.876575029596234
67,330935,29,0,1,26,0,1471919,60,569516,154298,3,1,314317,40861,0.13,0,0,428765,314,152,0,2023-05,12.709680282189687,14.202078228967975,13.252543912170118,11.946647557448852,12.658160491269873,10.617955814799757,12.968666594550252
27,100000,6,1,0,11,2,96751,48,164071,36424,5,9,156215,46864,0.3,2,3,201931,134,28,0,2025-10,11.51293546492023,11.479906282512994,12.00806063485357,10.503010631063406,11.958994943920333,10.755026407180587,12.215686286046145
64,243512,29,2,1,27,0,157225,240,41332,72482,1,6,581093,81353,0.14,1,1,784278,324,151,0,2023-02,12.402925608170037,11.965439539703132,10.629416491370417,11.191107330588766,13.272667812764666,11.306565281690364,13.572520103373718
28,201300,4,0,1,7,3,180707,24,107047,26252,7,6,523497,183223,0.35,0,1,709319,91,63,1,2023-11,12.21255657932543,12.10463774787482,11.581032610984824,10.17553554720394,13.16828848884608,12.118464727008657,13.472062043606416
67,279636,40,1,1,30,1,1203943,120,491409,7656,3,0,824391,502878,0.61,0,1,1139034,362,184,0,2023-06,12.541247612489416,14.001113392141297,13.105034088882507,8.943375541113124,13.622401423924185,13.128104863483442,13.945691970666596
55,165765,24,3,1,28,2,568662,120,298879,58588,5,9,113542,86291,0.76,0,2,117356,339,213,0,2024-09,12.01833243430936,13.25104327051368,12.607797434022615,10.978302244634175,11.639936898781851,11.365492172890495,11.672975850117952
34,100000,12,1,0,11,0,480985,120,94323,13089,2,6,104170,33334,0.32,2,5,125672,136,73,1,2025-09,11.51293546492023,13.083593442635204,11.45449094313306,9.479603858903946,11.553789058625227,10.414363175052161,11.741438574370092
37,107178,13,1,1,19,2,215785,12,97326,46292,6,9,256324,46138,0.18,1,2,294148,232,66,0,2024-11,11.582255612906417,12.282042454817553,11.485831721972112,10.742746040739314,12.454201449538292,10.73941385832426,12.591841720660781
56,316805,18,0,1,17,4,461601,180,124036,77254,7,5,586563,164237,0.28,1,1,607259,215,166,0,2025-08,12.666044878136999,13.042458326922272,11.728335187175372,11.254866917584518,13.282037063031938,12.009071874317161,13.316712314411001
60,291353,39,1,1,30,1,882475,24,564758,80036,1,5,384352,96088,0.25,1,3,463643,361,284,1,2024-02,12.58229430166867,13.690486871952363,13.244154370458249,11.29024430673586,12.859316680132533,11.473030124306973,13.04687229534878
24,290670,3,0,2,6,2,848822,60,135341,111003,3,6,294731,26525,0.09,1,3,385533,78,26,0,2024-07,12.57994732236876,13.651605962993019,11.815560187274192,11.617321515681224,12.593821747832559,10.185880663054299,12.862384665242944
22,100000,3,1,0,3,1,315960,24,42232,39412,2,6,120119,36035,0.3,0,1,130839,41,27,1,2025-03,11.51293546492023,12.663374067230937,10.650957184950148,10.581850990103325,11.696246522097267,10.492273717771331,11.78173048165232
26,172079,2,0,1,10,4,355154,60,230314,56523,4,0,270718,43314,0.16,1,3,312006,130,128,0,2024-07,12.055714763941612,12.78030959288521,12.347203216123704,10.942420605702637,12.508836661539746,10.67625427432424,12.650780902437374
62,190126,24,2,1,25,4,100108,120,99539,89444,2,9,179265,43023,0.24,2,3,236555,306,25,0,2025-11,12.1554475489014,11.514014871351552,11.508314852412544,11.401379190225317,12.096626015287283,10.669513378508645,12.373940245353978
24,135631,5,2,1,12,0,89196,84,255068,66663,3,4,394762,126323,0.32,1,2,509109,153,149,0,2024-03,11.817700614848187,11.398602685715527,12.449289375773464,11.107420356062043,12.886040863811226,11.746605314039325,13.1404193822039
49,184971,24,1,0,21,3,645034,60,13182,87769,6,7,142237,81075,0.57,3,3,204023,261,25,1,2023-12,12.127959741254339,13.377059857871586,9.48668339975797,11.382475035586163,11.865256989906472,11.303142265357856,12.225992912965305
38,100000,15,0,0,19,0,285466,48,6121,41560,5,7,296394,160052,0.54,1,2,413652,230,58,1,2025-02,11.51293546492023,12.561881714707528,8.719644119505357,10.634917506521377,12.599448303165968,11.983260289364795,12.932782737100188
46,394513,21,0,2,22,1,1654804,180,408127,141511,7,2,1027601,184968,0.18,1,2,1523732,271,38,0,2023-09,12.885409906597825,14.319193735078002,12.919336129674944,11.860139798123344,13.842738490498572,12.127943522451881,14.236673803029573
64,326632,21,1,1,18,0,604871,180,327194,110531,7,2,508853,183187,0.36,1,1,660794,221,46,0,2023-01,12.696592495442982,13.312772144380903,12.698311602420377,11.613060350776236,13.13991641745191,12.118268226893399,13.401198934574323
54,287396,19,1,1,17,2,1198333,12,105922,20060,4,6,675248,344376,0.51,1,2,911067,210,203,1,2024-06,12.56861981415922,13.996442816797254,11.57046769403258,9.906532910722088,13.422836790720778,12.749492266494956,13.722372816705603
30,326967,2,1,1,5,0,789530,24,331646,49147,7,3,712391,113982,0.16,2,3,1018899,68,4,0,2023-11,12.697617585763638,13.579194377264791,12.711826429232103,10.802591432987462,13.476383600688324,11.643804593449703,13.834234171962377
56,187421,32,0,1,29,3,175265,36,159821,4260,4,5,193646,65839,0.34,4,6,274976,355,147,0,2024-03,12.141118037840599,12.07406009887492,11.981815974928491,8.357259153499912,12.173792192956128,11.094982835350951,12.524442736787357
34,100000,6,1,0,7,3,490060,12,178614,8595,6,8,134767,22910,0.17,1,1,183196,91,62,1,2023-10,11.51293546492023,13.102285152134517,12.092987930460012,9.059052257762401,11.811310060555146,10.039372423556493,12.118317355542235
51,173414,24,1,1,27,1,486202,36,11799,40029,4,9,309163,89657,0.29,0,1,386493,326,280,0,2024-07,12.063442844777532,13.094381511145412,9.375854810453756,10.597384451986619,12.641627159421493,11.403757710969447,12.864871622956386
68,276244,39,1,1,30,4,920625,180,539705,24955,1,1,578623,190945,0.33,0,0,657664,360,55,0,2025-08,12.529043432102789,13.732809152417044,13.19877982583232,10.124869553230678,13.268408150097038,12.159745944542134,13.396450962121571
35,410962,8,1,2,8,3,1446005,48,520921,186082,3,1,763254,373994,0.49,0,0,1098023,107,25,0,2024-02,12.926258465095039,14.184315831069831,13.1633555974354,12.133948089720555,13.545347461509175,12.831997707323346,13.90902275873623
28,112095,3,1,1,5,1,238858,120,38795,45593,7,5,188596,107499,0.57,1,1,261833,60,8,0,2025-03,11.627110925997213,12.383628698660862,10.566072427513433,10.72753140789784,12.147367742374175,11.585246126549855,12.475465994155412
34,258801,10,0,1,17,3,999975,120,36538,14071,4,2,416121,212221,0.51,1,1,590456,213,127,0,2024-04,12.463818569554292,13.81548655767627,10.50613546228876,9.551942286417393,12.938733765479155,12.265388175565626,13.288652092323705
43,221107,20,0,1,21,3,976452,60,243064,30839,2,0,385977,185268,0.48,1,2,413147,253,212,1,2023-04,12.306406548913708,13.791681897060144,12.401084176265625,10.336567827677266,12.863535652004048,12.12956410200156,12.931561161260781
60,203460,22,1,1,19,4,456226,12,103364,84060,5,1,322662,83892,0.26,0,1,373451,235,65,0,2023-08,12.223229619306663,13.03074577164926,11.546021692459417,11.339298004752921,12.684363713889674,11.337297456316673,12.830544761240144
41,107917,14,0,1,14,2,373015,48,68772,43756,3,6,200005,24000,0.12,3,5,242494,177,68,1,2024-11,11.589126958463805,12.829376593148329,11.138566505035511,10.686406878987126,12.206102645080183,10.085850775128717,12.398736370590408
36,106345,12,1,1,17,1,415495,120,56150,50387,6,3,289254,17355,0.06,0,0,410502,209,140,0,2025-06,11.574453208261433,12.937228266275826,10.935799769447005,10.827508330472194,12.575063930991222,9.761693546918242,12.925138516008696
65,395048,19,1,2,19,3,535513,60,520608,197058,7,1,822518,394808,0.48,0,1,1189725,233,153,0,2025-04,12.886765086822527,13.190982312319047,13.162754559138081,12.19125845526702,13.620126861658807,12.886157382634215,13.989233586474787
38,193850,12,2,1,11,3,387056,24,218930,94716,2,7,447125,219091,0.49,1,3,510816,132,70,1,2024-01,12.174845101713574,12.866327247987986,12.296511890660982,11.458648777318958,13.010595713069861,12.297247011909183,13.14376668371436
67,371763,26,1,1,22,0,367889,180,75114,80622,1,3,741186,192708,0.26,1,2,995571,265,180,0,2024-10,12.826014523330844,12.815539259424181,11.226775551496525,11.297539247588844,13.516008234113787,12.168936558034192,13.811072725335618
44,419945,18,0,2,20,2,1347997,24,452166,58858,4,3,885052,477928,0.54,2,2,919486,244,54,0,2025-08,12.947881410564966,14.114131086773764,13.021806859604043,10.98290003217661,13.693402809202562,13.07721746487624,13.731571184808026
46,177663,10,0,1,16,4,729167,180,282985,68229,2,1,345709,86427,0.25,1,1,416505,194,163,1,2024-03,12.087649404986367,13.499659437115554,12.55315270543703,11.130639629809469,12.753355552306502,11.36706697636556,12.939656146247577
45,249519,15,2,1,19,1,810630,24,51982,40834,3,0,141518,50946,0.36,0,1,175954,229,3,1,2023-04,12.427294351281684,13.605568235721675,10.858672021035643,10.617294835792377,11.86018926266964,10.838541155661169,12.077983559509939
65,234092,26,0,0,24,3,306432,60,417852,95292,7,0,702040,414203,0.59,3,4,970792,296,289,0,2023-07,12.363473751280548,12.632754413398962,12.942884975013717,11.464711634688511,13.461747085860873,12.93411388506744,13.785868542260586
61,535435,28,1,2,24,1,1584169,48,630580,147939,2,2,312706,15635,0.05,1,1,452168,297,201,0,2023-02,13.190836647255061,14.275571168830105,13.35439689560429,11.904562065141858,12.653021928868547,9.657331226912845,13.021811282738808
49,100000,28,1,0,30,4,425720,12,190371,40108,1,5,148787,43148,0.29,2,2,173878,366,7,1,2024-11,11.51293546492023,12.96153948111398,12.156735331701663,10.59935602701476,11.910277752967842,10.672414521272,12.066114933993482
35,102497,12,0,0,13,2,190876,180,34733,15622,5,6,78183,30491,0.39,0,0,98813,156,105,1,2024-01,11.537598565175113,12.159384520527597,10.45547431330706,9.656499466411903,11.266820302018672,10.325219633108164,11.500994574102263
65,218397,40,0,0,30,0,927517,36,434053,57624,4,8,162120,19454,0.12,0,0,214602,370,155,0,2025-01,12.2940743653018,13.7402674802835,12.980924229305657,10.96171178029895,11.996098248993638,9.875859385418654,12.27654508857776
21,100000,2,1,1,6,2,403080,48,130633,29073,3,4,248381,94384,0.38,2,2,289200,72,1,1,2025-02,11.51293546492023,12.906892813288353,11.780154798849281,10.27759958298627,12.422723162647719,11.455137441202835,12.57487722707543
45,100000,13,2,0,17,0,59783,48,115661,47269,7,8,156481,20342,0.13,3,3,233590,206,168,0,2024-07,11.51293546492023,10.998493345610125,11.658427423625646,10.763631123787283,11.96069626637306,9.920492151351953,12.361327001796749
27,154201,3,0,0,7,1,243259,60,162650,22816,4,7,385941,135079,0.35,1,2,554939,93,18,0,2025-08,11.946018710195867,12.401886109172427,11.999362080053517,10.035261151145571,12.863442378089585,11.813622474499503,13.226615278776361
29,100000,6,2,0,6,2,294324,36,9612,46961,4,0,118196,34276,0.29,2,2,135712,77,35,1,2023-03,11.51293546492023,12.592439877946397,9.170871628065816,10.757094043032893,11.68010800292138,10.442229854296327,11.818297640792323
44,100000,14,1,0,17,2,372927,240,188229,40633,6,2,114115,55916,0.49,1,1,143097,205,81,1,2024-04,11.51293546492023,12.829140650502746,12.145419898318224,10.612360433557555,11.644970753889448,10.931623727399913,11.871284989206483
21,145742,0,3,1,7,2,650357,48,190308,54045,4,7,164408,23017,0.14,0,3,183384,94,39,0,2023-07,11.88960007561513,13.385278259484885,12.156404345912643,10.897590814778392,12.010112504631337,10.044031797528437,12.119343047019077
64,349477,32,0,1,30,4,1182871,48,79915,138986,2,8,713060,135481,0.19,0,1,896496,367,11,1,2024-01,12.764195891607514,13.983455937613721,11.28873136201984,11.84213568255922,13.477322249734094,11.81659406914929,13.706250225674822
28,174390,4,0,1,6,1,385671,84,15844,54166,2,3,442514,199131,0.45,2,2,593706,83,45,0,2023-05,12.069055183620819,12.862742546279847,9.670609272125022,10.899827145911038,13.000229641160672,12.201723200392335,13.294141210655825
44,264921,16,2,1,20,0,352562,180,39480,36336,5,5,431994,60479,0.14,0,3,450466,243,203,0,2023-04,12.487190722019308,12.77298460866959,10.583574822507286,10.500591784882543,12.976169293085194,11.010068010853415,13.01804010140519
31,239293,8,2,1,9,2,938067,120,296321,26551,1,3,346525,103957,0.3,1,1,497283,115,3,0,2024-01,12.385448200452165,13.75157772003026,12.599201979877217,10.18686035339981,12.755713130872065,11.551742250401844,13.116916570447058
37,100000,17,1,0,18,1,143051,48,124733,43584,7,8,293394,105621,0.36,4,4,380494,227,205,1,2023-07,11.51293546492023,11.870963479506003,11.733938748875168,10.682468333445676,12.58927510296435,11.567621961889257,12.849228315593072
28,142836,3,1,1,11,4,518414,48,146314,52573,7,1,113109,31670,0.28,0,0,169075,138,60,1,2023-03,11.869459398967527,13.158531358786773,11.89351711080237,10.86997697994303,11.636116075525427,10.363156714657805,12.03810359696062
55,414206,28,2,2,27,4,544868,60,268485,50673,3,5,711018,298627,0.42,2,2,720116,325,92,0,2023-11,12.934121127849103,13.208300677780134,12.500554050044638,10.833168237529042,13.474454431353784,12.60695393062202,13.487168977790542
55,265666,29,0,1,30,1,241687,60,288751,83749,2,2,404136,210150,0.52,1,1,572155,368,314,0,2023-01,12.4899989238086,12.395402917134687,12.57332346720108,11.335591449687312,12.909509208369746,12.25558159892777,13.25716696045134
53,252244,26,1,1,27,0,411145,12,266568,59232,4,9,188001,69560,0.37,3,3,262445,328,111,0,2025-09,12.438156116413854,12.926703661542279,12.493388400896043,10.989234097996784,12.144207880053372,11.14995934444309,12.477800625566015
25,170709,3,2,1,7,1,304234,180,14998,16414,1,3,199815,21979,0.11,2,3,213087,89,34,1,2023-03,12.047721489374798,12.625555708073195,9.61573881119536,9.705950829935693,12.205152222070431,9.997888227957612,12.269460504910349
62,231087,19,1,1,17,1,788570,60,138840,63616,3,1,131974,26394,0.2,1,1,154099,205,156,0,2023-08,12.350553869340947,13.577977725719556,11.841084672485076,11.060636009208594,11.790367789691818,10.180929877257716,11.945357021308206
59,312017,31,0,1,29,3,381901,36,47960,48402,7,7,840070,151212,0.18,2,2,1211715,350,61,0,2023-04,12.650816157435175,12.852919310172924,10.778143459633002,10.7873170742549,13.641241691057084,11.92644471786758,14.00754809472103
61,158953,35,1,0,30,4,744914,36,286958,10522,3,9,321025,125199,0.39,0,0,404243,369,110,0,2024-09,11.976370131168585,13.521025396892755,12.567094627393848,9.261318616740812,12.679277395716818,11.737667737648135,12.909773935028648
48,100000,21,0,0,23,0,299462,48,146418,24413,3,7,253754,45675,0.18,0,0,304667,287,232,1,2024-06,11.51293546492023,12.609746149673988,11.894227653509233,10.102912017229745,12.444124513577503,10.729328274821539,12.626977938126217
27,100000,4,0,0,7,3,270919,120,199242,30325,7,0,180388,5411,0.03,2,2,262058,91,75,1,2025-04,11.51293546492023,12.50957885332884,12.202280464291286,10.319760709360885,12.102870909141815,8.59637398929068,12.476324948231277
29,332584,4,3,2,4,1,816867,60,212598,14139,3,9,664760,365618,0.55,0,1,695785,58,45,0,2025-09,12.714650745505685,13.613232794081368,12.267163041210061,9.556762939450564,13.407182856542633,12.809347086577198,13.452797420773209
28,141941,5,1,1,10,4,432878,12,250248,30234,5,5,319670,35163,0.11,0,0,395291,124,15,0,2025-11,11.863173802440462,12.97821352220491,12.430211701165486,10.316755472707314,12.675047620892865,10.46777811097107,12.88738001128591
