age,marital_status,education_level,outstanding_loans,loan_amount,loan_tenure_months,savings_account_balance,checking_account_balance,no_of_open_accounts,no_of_closed_accounts,total_current_balance,credit_utilization_ratio,no_of_inquiries_6m,no_of_inquiries_12m,newest_trade_open_months,default,month,log_income_inr,log_savings_account_balance,log_checking_account_balance,log_total_current_balance,log_max_credit_exposure,debt_to_income,balance_to_income,savings_to_loan,monthly_installment_proxy,installment_to_income,inquiry_acceleration,utilization_per_open_account,total_accounts,closed_account_ratio,account_maturity,trade_gap,woe_age,woe_education_level,woe_loan_amount,woe_loan_tenure_months,woe_savings_account_balance,woe_checking_account_balance,woe_total_current_balance,woe_credit_utilization_ratio,woe_no_of_inquiries_6m,woe_no_of_inquiries_12m,woe_newest_trade_open_months,woe_log_income_inr,woe_log_savings_account_balance,woe_log_checking_account_balance,woe_log_total_current_balance,woe_log_max_credit_exposure,woe_debt_to_income,woe_balance_to_income,woe_savings_to_loan,woe_monthly_installment_proxy,woe_installment_to_income,woe_inquiry_acceleration,woe_utilization_per_open_account,woe_closed_account_ratio,woe_account_maturity,woe_trade_gap
56,3,1,3,921813,120,448502,71737,1,8,90661,0.22,2,3,69,0,2023-12,12.340157634891742,13.013670649421828,11.180775872247704,11.414893584697133,13.087589721418276,4.0307,0.3964,0.4865,7681.77,0.4031,0.6667,0.22,9,0.8889,1.0219,164,0.7316004412458373,-0.22326256541455727,0.0987273830370058,0.25999553063312814,0.8405238330849243,0.7597713182125337,-0.17421899076102226,0.24777541929835276,-0.1775030659622122,-0.054240564541203067,-0.0266614264034074,0.5178246399352279,0.8405238330849243,0.7597713182125337,-0.17421899076102226,0.18750002859497455,-0.5879955706830521,-0.04158944698764424,0.28774939341529904,-0.27594313877546467,0.34503257331904025,-0.18914464097769795,0.1799528229595917,-0.11428665003834837,0.39451263058241004,0.6499564522053273
60,1,1,1,1017206,48,435477,77877,6,7,209185,0.36,0,0,142,0,2024-12,12.3398690030484,12.984199557351154,11.26289877862223,12.250979087327435,13.549717823002672,4.4491,0.9149,0.4281,21191.79,1.1123,0.0,0.06,13,0.5385,1.0201,213,0.5884164340640126,-0.22326256541455727,0.24894569444654305,-0.028514013938685242,0.8405238330849243,0.4465814862135402,0.31244200600567046,0.1029917818234634,0.12905688332991616,0.21852509774583123,0.29502215274437876,0.5178246399352279,0.8405238330849243,0.4465814862135402,0.31244200600567046,0.4818195304033289,-0.5879955706830521,-0.22551228514857277,-0.12197160620773233,0.2804233533232262,-0.1999789831434081,0.1745180269736348,-0.08354202387818553,-0.48502348063365747,0.17198465331041474,0.9271672247898126
44,1,0,3,371562,84,180375,13365,7,2,105137,0.4,3,4,167,1,2025-06,11.51293546492023,12.102798840066349,9.500469448071016,11.563029051936477,12.820771679760975,3.7156,1.0514,0.4855,4423.36,0.5308,0.75,0.0571,9,0.2222,1.0263,67,-0.19811331096045834,-0.22326256541455727,-0.38981533643984906,0.07676858672436082,-0.3745478643090606,-0.5413652345670501,-0.17421899076102226,-0.3024733262847011,-0.18295267072977672,-0.21514949811302622,0.29502215274437876,-1.173551715337308,-0.3745478643090606,-0.5413652345670501,-0.17421899076102226,0.31244200600567046,-0.4468192886554809,-0.4614180880766337,0.28774939341529904,0.10639025578257491,0.013504615321927167,-0.20153032046208738,-0.08354202387818553,-0.14416664569462026,0.6698717619062686,-0.22551228514857277
23,1,1,1,795929,120,99893,64983,2,1,106068,0.35,1,2,12,0,2023-02,12.53677469516755,11.511864902772908,11.08189636473079,11.571845104718674,13.014359370801085,2.8591,0.381,0.1255,6632.74,0.2859,0.5,0.175,3,0.3333,1.1019,107,-0.7748715729168063,-0.22326256541455727,0.0987273830370058,0.25999553063312814,-0.5413652345670501,0.7597713182125337,-0.17421899076102226,0.1029917818234634,0.12905688332991616,-0.11136693993501376,-0.29962025730229463,0.38539679717440045,-0.5413652345670501,0.7597713182125337,-0.17421899076102226,0.18750002859497455,-0.06866981365560297,-0.04158944698764424,-0.39878400642260947,-0.27594313877546467,0.12789646100353846,0.1745180269736348,0.1799528229595917,0.08686239989357969,-0.5738189794167884,0.26980915208145273
42,1,0,2,172767,24,183322,32396,3,7,27987,0.14,2,4,124,0,2023-01,11.51293546492023,12.119004903315693,10.38582110490087,10.239531125865788,12.522702896937837,1.7277,0.2799,1.0611,7198.62,0.8638,0.5,0.0467,10,0.7,1.0222,60,-0.19811331096045834,-0.22326256541455727,0.4536486534366327,-0.17632204095780107,-0.3745478643090606,-0.36565891689181446,-0.22551228514857277,0.2073517971477059,-0.1775030659622122,-0.21514949811302622,0.0753800190400147,-1.173551715337308,-0.3745478643090606,-0.36565891689181446,-0.22551228514857277,-0.47063474318155785,0.2563258017441657,0.38539679717440045,0.6705757394080629,-0.27594313877546467,-0.22551228514857277,0.1745180269736348,0.11095995147264011,-0.05912155042681252,0.39451263058241004,-0.22551228514857277
22,0,1,1,785328,84,318628,58840,4,4,57250,0.12,0,0,49,0,2023-04,12.104787149025489,12.67178269554234,10.98259416981229,10.955200388512845,13.269720749162188,4.3452,0.3168,0.4057,9349.14,0.6207,0.0,0.03,8,0.5,1.0417,51,-0.7748715729168063,-0.22326256541455727,0.38539679717440045,0.07676858672436082,0.59233837391233,0.18750002859497455,0.13550106038875784,0.2073517971477059,0.12905688332991616,0.21852509774583123,-0.15651941366162134,-0.0336212773384673,0.59233837391233,0.18750002859497455,0.13550106038875784,0.22541519703634885,-0.5879955706830521,0.38539679717440045,-0.12197160620773233,0.06995192774526302,-0.2170734165027081,0.1745180269736348,0.6773554263934416,0.0776739738391735,-0.22551228514857263,-0.22551228514857277
44,2,0,4,445583,180,131377,66954,6,8,30560,0.12,0,0,84,0,2024-11,12.027842706639472,11.78583394331339,11.111776030929668,10.327479965258176,12.587118686964205,2.6626,0.1826,0.2948,2475.46,0.1775,0.0,0.02,14,0.5714,1.0111,98,-0.19811331096045834,-0.22326256541455727,-0.5647280077155366,0.008102566032932322,0.0776739738391735,0.7597713182125337,-0.22551228514857277,0.2073517971477059,0.12905688332991616,0.21852509774583123,-0.0266614264034074,-0.0336212773384673,0.0776739738391735,0.7597713182125337,-0.22551228514857277,-0.6014185910151929,-0.04158944698764424,0.34503257331904025,-0.13182680107124983,-0.014203191481365798,0.2563258017441657,0.1745180269736348,0.1949907003241321,-0.48502348063365747,0.14987536772231363,0.26980915208145273
50,1,0,2,85651,24,94682,38976,4,9,11029,0.04,1,3,257,0,2024-05,11.51293546492023,11.458289748804011,10.570727007554888,9.308374112247549,12.800186473873165,0.8565,0.1103,1.1054,3568.79,0.4283,0.3333,0.01,13,0.6923,1.0243,38,0.29436317413733587,-0.22326256541455727,0.4536486534366327,-0.17632204095780107,-0.5413652345670501,-0.36565891689181446,-0.26735939508407314,0.6558911877251418,0.12905688332991616,-0.054240564541203067,0.1799528229595917,-1.173551715337308,-0.5413652345670501,-0.36565891689181446,-0.26735939508407314,0.31244200600567046,1.2661425916291442,0.5992112532000919,0.6705757394080629,-0.014203191481365798,0.34503257331904025,0.1745180269736348,0.1949907003241321,-0.05912155042681252,0.39451263058241004,-0.47358521950530796
58,0,2,3,854245,48,414799,72159,3,2,22283,0.07,1,1,107,0,2025-06,12.650720004513492,12.93555175533751,11.186641154736506,10.011624211140706,12.897936502983162,2.7381,0.0714,0.4856,17796.77,0.6845,1.0,0.0233,5,0.4,1.0175,125,0.7316004412458373,0.889100344865978,0.0987273830370058,-0.028514013938685242,0.8405238330849243,0.7597713182125337,-0.26735939508407314,0.6558911877251418,0.12905688332991616,0.21852509774583123,-0.03692111534102272,1.0337231978524128,0.8405238330849243,0.7597713182125337,-0.26735939508407314,0.31244200600567046,-0.06866981365560297,0.5992112532000919,0.28774939341529904,0.013504615321927167,-0.2170734165027081,-0.20153032046208738,0.6773554263934416,0.5017679017808311,0.17198465331041474,-0.017872920370328123
22,0,1,1,392197,12,60162,36797,6,4,2471,0.02,1,1,4,1,2024-04,11.587077007603314,11.00481282440168,10.513198774854038,7.812782818577581,12.01638804795963,3.6417,0.0229,0.1534,32683.08,3.6417,1.0,0.0033,10,0.4,1.2222,40,-0.7748715729168063,-0.22326256541455727,-0.38981533643984906,-0.17632204095780107,-0.39878400642260947,-0.36565891689181446,-0.26735939508407314,0.6558911877251418,0.12905688332991616,0.21852509774583123,-0.29962025730229463,-1.173551715337308,-0.39878400642260947,-0.36565891689181446,-0.26735939508407314,-0.42287171930706796,-0.4468192886554809,0.5992112532000919,-0.39878400642260947,0.2804233533232262,-0.738397641877574,-0.20153032046208738,0.1949907003241321,0.5017679017808311,-0.5738189794167884,-0.47358521950530796
41,0,2,2,1418144,120,42952,108228,7,1,30181,0.07,0,1,12,0,2023-08,13.024364586522228,10.667861773634332,11.592004631664135,10.315000999178496,13.086278063744814,3.1283,0.0666,0.0303,11817.87,0.3128,0.0,0.01,8,0.125,1.0119,158,-0.27957950641884854,0.889100344865978,0.2563258017441657,0.25999553063312814,-0.8961866098564595,0.378228307695788,-0.22551228514857277,0.6558911877251418,0.12905688332991616,0.21852509774583123,-0.29962025730229463,0.9892714352815788,-0.8961866098564595,0.378228307695788,-0.22551228514857277,0.18750002859497455,-0.38981533643984906,0.5992112532000919,-0.6929874680409496,-0.0336212773384673,0.12789646100353846,0.1745180269736348,0.1949907003241321,-0.14416664569462026,0.14987536772231363,0.6499564522053273
53,0,1,4,437410,180,56514,82555,3,2,24075,0.14,3,6,357,0,2025-01,12.064969804552174,10.942261368624832,11.321232129929266,10.08897077266766,12.205037109547812,2.5185,0.1386,0.1292,2430.06,0.1679,0.5,0.0467,5,0.4,1.025,12,0.6258589006262666,-0.22326256541455727,-0.5647280077155366,0.008102566032932322,-0.39878400642260947,0.4465814862135402,-0.22551228514857277,0.2073517971477059,-0.18295267072977672,-0.45912713633007796,0.1799528229595917,-0.0336212773384673,-0.39878400642260947,0.4465814862135402,-0.22551228514857277,-0.42287171930706796,-0.04158944698764424,0.34503257331904025,-0.39878400642260947,-0.014203191481365798,0.2563258017441657,0.1745180269736348,0.11095995147264011,0.5017679017808311,0.39451263058241004,-0.38715363670498887
32,1,1,1,311904,24,188172,21975,6,3,86075,0.15,2,3,79,1,2023-11,12.241381872632408,12.14511703144184,9.99770622777511,11.362985905914435,13.396419030461404,1.5054,0.4154,0.6033,12996.0,0.7527,0.6667,0.025,9,0.3333,1.0208,19,-0.40471371460628364,-0.22326256541455727,-0.1999789831434081,-0.17632204095780107,-0.3745478643090606,-0.42287171930706796,-0.17421899076102226,0.2073517971477059,-0.1775030659622122,-0.054240564541203067,-0.0266614264034074,0.013504615321927167,-0.3745478643090606,-0.42287171930706796,-0.17421899076102226,0.4818195304033289,0.59233837391233,0.013504615321927167,0.24894569444654305,-0.0336212773384673,-0.2170734165027081,-0.18914464097769795,0.6773554263934416,0.08686239989357969,0.39451263058241004,-0.7763432435282624
42,2,2,3,810491,60,256780,147245,6,3,60520,0.05,1,2,52,0,2024-09,12.96696258317624,12.455978860521787,11.899859936458958,11.0107456912291,14.34210834466504,1.8935,0.1414,0.3168,13508.18,0.3787,0.5,0.0083,9,0.3333,1.0307,183,-0.19811331096045834,0.889100344865978,0.0987273830370058,0.11743246597825772,0.4536486534366327,1.3963481472840846,0.13550106038875784,0.6558911877251418,0.12905688332991616,-0.11136693993501376,-0.15651941366162134,0.9892714352815788,0.4536486534366327,1.3963481472840846,0.13550106038875784,1.1482032937644577,0.2563258017441657,0.34503257331904025,-0.18258724043153873,-0.0336212773384673,0.34503257331904025,0.1745180269736348,0.1949907003241321,0.08686239989357969,0.6698717619062686,0.6499564522053273
64,0,1,3,1092628,180,460886,88759,3,8,56510,0.3,3,5,90,0,2025-07,12.608603452785283,13.04090817262628,11.39369137704653,10.942190588450329,12.228303694371496,3.6528,0.1889,0.4218,6070.16,0.2435,0.6,0.1,11,0.7273,1.0254,193,0.5884164340640126,-0.22326256541455727,0.24894569444654305,0.008102566032932322,0.8405238330849243,0.4465814862135402,0.13550106038875784,-0.03777066088527888,-0.18295267072977672,-0.45912713633007796,-0.03692111534102272,1.0337231978524128,0.8405238330849243,0.4465814862135402,0.13550106038875784,-0.42287171930706796,-0.4468192886554809,0.34503257331904025,-0.12197160620773233,-0.27594313877546467,-0.014203191481365798,-0.18914464097769795,-0.36565891689181446,0.1799528229595915,0.39451263058241004,0.9271672247898126
45,0,1,1,375612,180,64237,25618,3,0,197558,0.4,1,2,15,0,2025-04,12.424963165514685,11.070350214885682,10.151089542682712,12.19379255288836,13.375696211776926,1.5089,0.7936,0.171,2086.73,0.1006,0.5,0.1333,3,0.0,1.0539,200,-0.19811331096045834,-0.22326256541455727,-0.38981533643984906,0.008102566032932322,-0.39878400642260947,-0.42287171930706796,0.31244200600567046,-0.3024733262847011,0.12905688332991616,-0.11136693993501376,-0.0713616053213144,0.5178246399352279,-0.39878400642260947,-0.42287171930706796,0.31244200600567046,0.4818195304033289,0.59233837391233,-0.22551228514857277,-0.49432587329597105,-0.014203191481365798,1.093063901916367,0.1745180269736348,-0.10189832918139616,-0.14416664569462026,-0.22551228514857263,0.9271672247898126
69,1,1,4,1109158,60,618541,17382,4,8,340575,0.53,0,2,136,0,2024-06,12.725868912491263,13.335120374733894,9.76324799612154,12.738393580840771,13.398625995369096,3.2978,1.0126,0.5577,18485.97,0.6596,0.0,0.1325,12,0.6667,1.0192,182,1.3915885000310968,-0.22326256541455727,0.24894569444654305,0.11743246597825772,1.205805757345273,-0.5413652345670501,0.28774939341529904,-0.5780549918023947,0.12905688332991616,-0.11136693993501376,0.0753800190400147,1.0337231978524128,1.205805757345273,-0.5413652345670501,0.28774939341529904,0.4818195304033289,-0.38981533643984906,-0.4614180880766337,0.28774939341529904,0.013504615321927167,-0.2170734165027081,0.1745180269736348,-0.10189832918139616,-0.05912155042681252,0.17198465331041474,0.6499564522053273
47,0,1,0,800300,180,455717,102413,1,8,164840,0.44,2,2,220,0,2023-08,12.44413239516454,13.029629476142718,11.536778700992388,12.012736651923069,13.076474400717707,3.1538,0.6496,0.5694,4446.11,0.2103,1.0,0.44,9,0.8889,1.0189,49,0.29436317413733587,-0.22326256541455727,0.0987273830370058,0.008102566032932322,0.8405238330849243,0.378228307695788,-0.04158944698764424,-0.3481146072409051,-0.1775030659622122,-0.11136693993501376,0.21798021854883082,0.5178246399352279,0.8405238330849243,0.378228307695788,-0.04158944698764424,0.18750002859497455,-0.38981533643984906,-0.3745478643090606,0.28774939341529904,0.10639025578257491,-0.014203191481365798,-0.20153032046208738,-0.38981533643984906,-0.11428665003834837,0.17198465331041474,-0.22551228514857277
62,2,0,0,1083094,84,405492,21270,3,5,78662,0.17,1,1,286,0,2024-10,12.312884607330238,12.912858889749886,9.96509992166365,11.272928184083858,13.076342475286795,4.8669,0.3535,0.3744,12893.98,0.6953,1.0,0.0567,8,0.625,1.02,20,0.5884164340640126,-0.22326256541455727,0.24894569444654305,0.07676858672436082,0.8405238330849243,-0.5413652345670501,0.18750002859497455,0.1799528229595917,0.12905688332991616,0.21852509774583123,0.1799528229595917,0.013504615321927167,0.8405238330849243,-0.5413652345670501,0.18750002859497455,0.18750002859497455,-0.7610305215049349,-0.04158944698764424,-0.18258724043153873,-0.0336212773384673,-0.2170734165027081,-0.20153032046208738,-0.08354202387818553,0.27444366638051426,0.17198465331041474,-0.7763432435282624
48,0,1,3,132721,60,256041,18792,5,0,206710,0.42,4,4,182,0,2023-06,12.052822393529413,12.45309677250492,9.8412397390566,12.239076961476902,13.19086279382902,0.7735,1.2047,1.9292,2212.02,0.1547,1.0,0.084,5,0.0,1.0208,112,0.29436317413733587,-0.22326256541455727,0.4536486534366327,0.11743246597825772,0.4536486534366327,-0.5413652345670501,0.31244200600567046,-0.3024733262847011,-0.7306072342055785,-0.21514949811302622,0.21798021854883082,-0.0336212773384673,0.4536486534366327,-0.5413652345670501,0.31244200600567046,0.22541519703634885,1.2661425916291442,-0.4614180880766337,1.9027194207006952,-0.014203191481365798,0.2563258017441657,-0.20153032046208738,-0.14855124401244438,-0.14416664569462026,0.39451263058241004,0.26980915208145273
36,0,1,4,209568,48,54943,104013,1,5,58988,0.3,1,1,67,0,2025-07,12.2663489714045,10.914069763697205,11.552280784448287,10.985106264827667,12.244042576781805,0.9866,0.2777,0.2622,4366.0,0.2466,1.0,0.3,6,0.8333,1.0694,10,-0.40471371460628364,-0.22326256541455727,-0.06866981365560297,-0.028514013938685242,-0.39878400642260947,0.378228307695788,0.13550106038875784,-0.03777066088527888,0.12905688332991616,0.21852509774583123,-0.0266614264034074,0.013504615321927167,-0.39878400642260947,0.378228307695788,0.13550106038875784,-0.42287171930706796,1.1994965881520083,0.38539679717440045,-0.13182680107124983,0.10639025578257491,-0.014203191481365798,-0.20153032046208738,-0.38981533643984906,-0.11428665003834837,-0.6906497247431356,-0.38715363670498887
35,0,1,3,277737,60,90436,36428,5,7,27234,0.34,1,3,95,1,2024-08,11.51293546492023,11.412408754678529,10.503120439721927,10.212258189817774,11.450933033128022,2.7774,0.2723,0.3256,4628.95,0.5555,0.3333,0.068,12,0.5833,1.0556,57,-0.40471371460628364,-0.22326256541455727,-0.1999789831434081,0.11743246597825772,-0.5413652345670501,-0.36565891689181446,-0.22551228514857277,0.1029917818234634,0.12905688332991616,-0.054240564541203067,-0.03692111534102272,-1.173551715337308,-0.5413652345670501,-0.36565891689181446,-0.22551228514857277,-0.738397641877574,-0.06866981365560297,0.38539679717440045,-0.18258724043153873,0.10639025578257491,0.013504615321927167,0.1745180269736348,-0.08354202387818553,0.27444366638051426,-0.6906497247431356,-0.22551228514857277
67,0,2,0,909201,48,96948,44394,4,4,29554,0.16,1,2,218,0,2023-10,12.66531861812295,11.48194034602245,10.700882129466429,10.29400821325847,12.285165671629652,2.872,0.0934,0.1066,18941.69,0.718,0.5,0.04,8,0.5,1.0152,50,1.3915885000310968,0.889100344865978,0.0987273830370058,-0.028514013938685242,-0.5413652345670501,-0.2508300931328625,-0.22551228514857277,0.1799528229595917,0.12905688332991616,-0.11136693993501376,0.21798021854883082,1.0337231978524128,-0.5413652345670501,-0.2508300931328625,-0.22551228514857277,-0.42287171930706796,-0.06866981365560297,0.5992112532000919,-0.39878400642260947,0.013504615321927167,-0.2170734165027081,0.1745180269736348,0.12279440911964301,0.0776739738391735,0.17198465331041474,-0.22551228514857277
64,1,1,3,188337,12,547551,84142,3,4,39059,0.1,0,0,8,0,2023-11,12.53213373085107,13.213212713331696,11.340273011369838,10.57285420443067,13.221288832400589,0.6797,0.141,2.9073,15694.75,0.6797,0.0,0.0333,7,0.5714,1.0111,356,0.5884164340640126,-0.22326256541455727,-0.06866981365560297,-0.17632204095780107,1.205805757345273,0.4465814862135402,-0.14822061084692617,0.6558911877251418,0.12905688332991616,0.21852509774583123,-0.29962025730229463,0.38539679717440045,1.205805757345273,0.4465814862135402,-0.14822061084692617,0.22541519703634885,1.2661425916291442,0.34503257331904025,1.9027194207006952,0.013504615321927167,-0.2170734165027081,0.1745180269736348,0.6773554263934416,-0.48502348063365747,0.14987536772231363,1.0401540881827032
